CostumerID,WorkerID,ComplaintID,Date,Reason,DealtWith
231,2124,92,24/09/1965,Brakes are broken,YES
232,46687,71,25/07/1960,Complaint about a worker,NO
233,4799,0,08/12/1970,Wants to extend renting period,NO
234,32,97052,26/07/1973,Wants to rent a car,YES
235,228,62539,17/12/1990,Wants to update data,NO
236,661,6,10/09/1977,Weird noises,NO
237,68,429,29/01/1987,Battery died,YES
238,520,2551,23/03/1954,Flat tire,YES
239,1,476,03/06/1979,Complaint about a worker,YES
240,550,5,24/11/1973,Weird noises,YES
241,20020,88,01/10/1982,Battery died,YES
242,5,41,05/07/1986,Broken window,NO
243,323,8764,07/10/1971,Weird noises,NO
244,35327,65,26/09/1993,Brakes are broken,YES
245,4908,81,16/09/1963,Car died,NO
246,31206,97,05/09/1975,Car died,NO
247,7,251,02/01/1982,Broken window,NO
248,0,54,12/05/1997,Car died,NO
249,3,5,16/10/1999,Problem with insurance,NO
250,707,199,08/06/1980,Brakes are broken,YES
251,8318,92,03/10/1963,Wants to update data,NO
252,4,38,22/05/1965,Flat tire,YES
253,79532,1137,22/12/1983,Unhappy costumer,YES
254,3056,960,30/08/1974,Brakes are broken,NO
255,6799,90,23/09/1991,Wants to rent a car,YES
256,5431,873,21/10/1951,Broken window,YES
257,57347,25118,23/03/1997,Wants to update data,NO
258,720,9677,27/11/1961,Complaint about a worker,YES
259,71694,2,29/08/1979,Lights are out,NO
260,169,20,28/03/1990,Wants to rent a car,YES
261,4507,973,14/06/1983,Broken window,NO
262,449,8,08/03/1995,Weird noises,YES
263,21,4750,01/11/1958,Wants to update data,YES
264,67,47685,02/04/1950,Brakes are broken,NO
265,5056,221,26/07/1982,Unhappy costumer,YES
266,2943,93303,05/12/1996,Car died,YES
267,8440,147,27/05/1999,Battery died,NO
268,9,2,21/12/1999,Broken window,NO
269,4,7802,05/07/1991,Flat tire,NO
270,6635,7603,15/07/1957,Broken window,YES
271,4698,96,11/05/1986,Weird noises,YES
272,4,95,18/11/1975,Unhappy costumer,NO
273,3147,91,13/05/1979,Unhappy costumer,NO
274,8,39666,07/09/1965,Unhappy costumer,NO
275,4,677,02/03/1973,Lights are out,NO
276,3,9,16/12/1977,Wants to rent a car,YES
277,4968,57640,16/03/1999,Broken window,YES
278,18,6,20/06/1970,Unhappy costumer,NO
279,4262,2084,08/12/1991,Complaint about a worker,YES
280,957,645,14/02/1980,Wants to rent a car,NO
281,20502,327,13/03/1987,Wants to rent a car,NO
282,94219,94,15/06/1998,Unhappy costumer,YES
283,220,7,25/03/1963,Battery died,NO
284,7,9,29/11/1999,Problem with insurance,YES
285,12,560,20/06/1991,Battery died,YES
286,5,330,03/01/1980,Wants to extend renting period,NO
287,78,36,25/11/2000,Car died,NO
288,27,8,26/10/1955,Battery died,NO
289,61365,26395,03/09/1956,Car died,YES
290,4624,314,18/08/1977,Battery died,NO
291,763,4,02/02/1988,Wants to extend renting period,YES
292,20780,60,02/01/1977,Wants to update data,YES
293,96,9,31/08/2000,Problem with insurance,NO
294,30457,8,25/04/1950,Car died,YES
295,55754,7,01/04/1960,Lights are out,YES
296,131,9157,18/06/1957,Unhappy costumer,YES
297,1,4025,19/10/1996,Weird noises,YES
298,5373,2116,15/01/1977,Car died,YES
299,6,98,10/02/1961,Brakes are broken,NO
300,3,1086,08/09/1994,Brakes are broken,NO
301,9132,555,25/02/1993,Unhappy costumer,YES
302,71,4,24/10/1964,Broken window,YES
303,979,97,12/03/1952,Weird noises,YES
304,1926,2,22/04/1963,Wants to rent a car,YES
305,8286,77,22/09/1999,Problem with insurance,YES
306,972,2,03/09/2000,Broken window,YES
307,6643,536,02/01/1991,Car died,NO
308,34166,338,03/12/1976,Complaint about a worker,NO
309,44,7,26/04/1995,Weird noises,NO
310,691,8967,06/11/1999,Flat tire,NO
311,639,6,04/11/1997,Complaint about a worker,YES
312,9177,250,30/10/1950,Broken window,YES
313,6313,11,03/10/1964,Car died,YES
314,6510,44206,03/02/1990,Car died,YES
315,0,45,16/07/1990,Wants to update data,NO
316,51,6444,31/01/1989,Complaint about a worker,NO
317,8382,3546,02/08/1968,Car died,NO
318,422,40,01/03/1974,Weird noises,YES
319,0,69,06/07/1953,Lights are out,YES
320,0,2171,27/01/1961,Wants to extend renting period,YES
321,9540,88669,28/09/1977,Problem with insurance,YES
322,6,1,23/08/1970,Battery died,YES
323,312,715,25/10/1998,Flat tire,NO
324,667,25,06/11/1992,Broken window,NO
325,960,80,15/01/1951,Weird noises,YES
326,586,96730,14/10/1955,Wants to rent a car,NO
327,3044,6036,10/01/1955,Battery died,YES
328,106,6,08/02/1967,Problem with insurance,YES
329,3,37488,30/11/1998,Wants to extend renting period,NO
330,229,2865,08/04/1983,Wants to extend renting period,YES
331,20,1352,06/06/1994,Broken window,NO
332,2,80430,08/05/1984,Weird noises,YES
333,408,3,24/12/1987,Complaint about a worker,NO
334,5,463,12/11/1998,Flat tire,YES
335,9,745,18/04/1968,Problem with insurance,YES
336,58,3,26/05/1972,Brakes are broken,YES
337,9448,8672,25/12/1962,Flat tire,YES
338,52,8746,15/11/1966,Wants to rent a car,YES
339,6576,6,19/08/2000,Battery died,YES
340,46,85824,16/05/1968,Complaint about a worker,YES
341,524,1132,14/05/1990,Weird noises,YES
342,7,3339,09/12/1967,Problem with insurance,YES
343,862,3,18/09/1986,Flat tire,YES
344,27331,33,23/07/1951,Brakes are broken,YES
345,9,714,29/11/1960,Wants to update data,NO
346,2,53,23/06/1974,Broken window,NO
347,524,1,01/09/1992,Lights are out,YES
348,277,586,05/06/1981,Flat tire,YES
349,616,75432,24/05/1973,Car died,NO
350,1,3,12/02/1955,Wants to update data,NO
351,7,2496,25/07/1980,Car died,NO
352,1,4,17/10/1950,Wants to extend renting period,YES
353,2,851,02/11/2000,Wants to update data,YES
354,17,10309,12/11/1958,Wants to extend renting period,YES
355,4,95341,10/08/1959,Car died,NO
356,92033,8844,22/07/1953,Wants to extend renting period,YES
357,99879,28,06/10/1981,Broken window,NO
358,78,35240,26/01/1979,Wants to rent a car,NO
359,62784,928,08/12/1971,Unhappy costumer,YES
360,46,48,25/09/1976,Weird noises,YES
361,82619,73066,04/04/1993,Battery died,NO
362,1,72,26/02/1985,Lights are out,YES
363,2038,86,16/05/1957,Battery died,NO
364,85001,657,17/12/1965,Brakes are broken,YES
365,5,2686,09/08/1978,Wants to extend renting period,YES
366,90327,7846,09/04/1973,Broken window,YES
367,5045,58416,27/09/1952,Flat tire,NO
368,145,72,06/07/1962,Broken window,NO
369,861,505,31/07/1961,Battery died,YES
370,94444,1,13/09/1969,Lights are out,NO
371,59,40,27/02/1995,Wants to rent a car,YES
372,288,788,04/02/1991,Battery died,NO
373,6805,5,09/12/1986,Battery died,YES
374,24,1,29/08/1976,Complaint about a worker,YES
375,32,6406,10/03/1986,Wants to extend renting period,YES
376,418,77,11/12/1999,Problem with insurance,NO
377,11675,80608,13/05/1961,Flat tire,NO
378,80,5660,24/11/1974,Weird noises,NO
379,73,462,03/08/1979,Weird noises,NO
380,9,5,15/09/1975,Problem with insurance,NO
381,82,35557,24/10/1999,Car died,YES
382,50402,37,14/08/1988,Complaint about a worker,NO
383,74,3368,04/09/1972,Flat tire,NO
384,0,494,09/02/1977,Complaint about a worker,YES
385,98,75,29/04/1954,Broken window,NO
386,4,1,23/11/1963,Lights are out,NO
387,38,669,31/01/1972,Problem with insurance,YES
388,3944,57,15/04/1956,Broken window,YES
389,2254,6809,23/11/1992,Battery died,NO
390,93601,6,05/12/1961,Broken window,NO
391,42,183,13/07/1967,Weird noises,NO
392,3,8,06/11/1962,Lights are out,YES
393,814,7680,09/10/1984,Car died,NO
394,8806,24047,07/08/1973,Unhappy costumer,NO
395,77433,7269,09/10/1972,Unhappy costumer,YES
396,4277,41929,26/11/1966,Brakes are broken,NO
397,33,21,05/07/1966,Lights are out,YES
398,9,2162,11/08/1976,Battery died,YES
399,73065,5,21/12/1970,Battery died,NO
400,29633,2847,04/06/1997,Complaint about a worker,YES
401,9238,6341,01/09/1969,Problem with insurance,NO
402,6011,42,30/03/1973,Complaint about a worker,YES
403,9328,52062,21/07/1971,Wants to rent a car,NO
404,0,0,29/07/1953,Unhappy costumer,NO
405,3022,33,11/01/1992,Weird noises,NO
406,8981,7422,16/01/1977,Weird noises,NO
407,59,3,10/09/1969,Wants to rent a car,NO
408,6795,3,07/07/1962,Wants to rent a car,NO
409,45320,60,05/07/1995,Wants to rent a car,NO
410,73,3146,16/10/1995,Brakes are broken,NO
411,341,67,19/05/1991,Lights are out,YES
412,0,2,28/06/1982,Car died,YES
413,89449,97103,15/01/1961,Battery died,NO
414,18,18806,26/08/1984,Broken window,YES
415,602,3,16/03/1987,Car died,NO
416,745,4781,16/03/1965,Complaint about a worker,NO
417,8,6,03/04/1975,Battery died,YES
418,5417,2,03/06/1953,Complaint about a worker,YES
419,0,157,28/07/1952,Wants to rent a car,NO
420,5,68820,31/01/1975,Wants to update data,NO
421,6,79,28/10/1963,Unhappy costumer,YES
422,5,37,05/10/1967,Brakes are broken,NO
423,92948,25,26/11/1962,Brakes are broken,NO
424,5193,43,25/12/1964,Wants to rent a car,NO
425,62398,689,01/02/1971,Flat tire,YES
426,21,571,26/03/1998,Flat tire,NO
427,900,196,30/06/1957,Wants to rent a car,YES
428,717,590,03/03/1978,Brakes are broken,NO
429,25011,85,08/06/2000,Wants to update data,YES
430,3,56,02/02/1987,Wants to update data,YES
431,8159,32,12/12/1963,Broken window,YES
432,32856,51985,07/08/1950,Wants to extend renting period,NO
433,1,94,02/01/1979,Wants to extend renting period,NO
434,576,8291,24/04/1965,Wants to extend renting period,NO
435,85,1,16/05/1989,Problem with insurance,YES
436,4,4,07/09/1956,Weird noises,YES
437,704,2874,28/10/1950,Wants to update data,YES
438,4173,0,11/01/1990,Wants to extend renting period,YES
439,9446,69742,07/03/2000,Wants to rent a car,NO
440,21,35322,22/03/1973,Wants to extend renting period,YES
441,5,8,30/09/1979,Unhappy costumer,NO
442,51,6760,07/11/1968,Wants to update data,YES
443,58431,23492,12/11/1955,Wants to rent a car,NO
444,94,6687,21/05/1988,Weird noises,YES
445,7,7,10/06/1973,Car died,NO
446,98,2497,27/07/1951,Complaint about a worker,YES
447,737,75016,12/02/1969,Wants to extend renting period,NO
448,594,834,20/01/1979,Battery died,NO
449,540,1,20/02/1954,Weird noises,NO
450,0,3232,28/06/1968,Wants to update data,NO
451,8932,30760,31/05/1982,Car died,NO
452,48534,2656,04/05/1978,Unhappy costumer,NO
453,40556,3054,14/10/1960,Wants to extend renting period,NO
454,29086,14,07/05/1979,Wants to extend renting period,YES
455,28672,89,12/03/1987,Broken window,YES
456,8324,6,09/03/1982,Wants to rent a car,NO
457,8,32250,25/10/1957,Unhappy costumer,NO
458,88,262,03/04/1950,Weird noises,YES
459,6316,7,12/06/1991,Problem with insurance,YES
460,7857,62,20/02/1989,Car died,YES
461,4851,52,01/11/1965,Problem with insurance,YES
462,97426,795,10/08/1995,Wants to rent a car,NO
463,46,1,07/05/1958,Problem with insurance,NO
464,7,6810,30/08/1994,Lights are out,YES
465,0,91601,03/06/1968,Wants to rent a car,YES
466,160,1701,30/11/1965,Complaint about a worker,NO
467,4699,9763,23/04/1978,Unhappy costumer,YES
468,39729,77,09/05/1967,Unhappy costumer,NO
469,8,4108,14/12/1954,Car died,NO
470,84396,1406,20/05/1998,Car died,YES
471,2,677,01/11/1998,Battery died,NO
472,64089,97,10/05/1976,Battery died,NO
473,3129,3,23/06/1970,Weird noises,NO
474,3,5,17/04/1999,Flat tire,YES
475,7,79687,28/01/1993,Unhappy costumer,NO
476,899,9634,12/01/1975,Complaint about a worker,YES
477,1341,986,17/07/1963,Problem with insurance,YES
478,527,9,22/11/1997,Flat tire,NO
479,507,109,17/05/1986,Complaint about a worker,YES
480,5607,49,18/09/1986,Complaint about a worker,NO
481,3,15170,30/03/1962,Battery died,YES
482,1727,798,14/10/1954,Wants to update data,NO
483,31,88,21/02/1953,Flat tire,NO
484,1324,33,01/03/1974,Battery died,YES
485,443,8,11/08/1955,Weird noises,YES
486,81979,2,17/04/1992,Wants to extend renting period,YES
487,64,7,04/02/1983,Brakes are broken,YES
488,9986,1,25/11/1953,Lights are out,NO
489,6,7,09/03/1974,Brakes are broken,YES
490,83,6179,31/08/1963,Complaint about a worker,YES
491,93,829,12/12/1987,Problem with insurance,YES
492,9,42,01/12/1980,Weird noises,YES
493,255,6865,16/09/1961,Brakes are broken,YES
494,5524,93935,06/05/2000,Wants to update data,YES
495,7,8,05/05/1956,Brakes are broken,NO
496,49,1,16/02/1967,Wants to rent a car,YES
497,0,651,06/01/1961,Broken window,NO
498,6126,6,09/04/1982,Wants to update data,YES
499,93,76,22/05/1991,Battery died,YES
500,16520,97,12/08/1995,Brakes are broken,YES
501,36772,5883,22/01/1968,Car died,NO
502,76720,901,29/12/1995,Broken window,YES
503,5,4,27/01/1998,Problem with insurance,NO
504,829,0,03/06/1958,Flat tire,YES
505,1114,4216,17/03/1978,Broken window,YES
506,95966,152,12/10/1988,Car died,NO
507,9143,9,10/03/1978,Wants to extend renting period,YES
508,11216,8308,24/01/1982,Lights are out,NO
509,11151,55712,14/02/1987,Brakes are broken,YES
510,73834,20225,01/10/1954,Broken window,NO
511,7329,2460,27/02/1992,Car died,YES
512,596,5,14/01/1983,Wants to update data,YES
513,21371,3138,19/06/2000,Wants to extend renting period,YES
514,8658,82554,23/01/1964,Wants to extend renting period,YES
515,8,9,17/12/1987,Brakes are broken,YES
516,2004,2,05/12/1990,Brakes are broken,YES
517,3812,0,06/06/1972,Flat tire,YES
518,182,5,07/01/1986,Flat tire,NO
519,596,84,09/10/1964,Weird noises,NO
520,8,6829,02/03/1974,Problem with insurance,YES
521,98982,0,28/09/1955,Problem with insurance,NO
522,43197,183,12/08/1984,Wants to update data,YES
523,7,2,18/01/1979,Unhappy costumer,NO
524,3,16493,22/12/1989,Battery died,YES
525,8716,24,20/06/1984,Lights are out,YES
526,821,22,09/05/1997,Problem with insurance,YES
527,536,5,27/04/1965,Lights are out,YES
528,2,53338,07/12/1986,Car died,NO
529,89,52,15/04/1965,Broken window,YES
530,390,4675,06/01/1969,Problem with insurance,NO
531,416,257,20/02/1951,Lights are out,YES
532,82,232,11/06/1978,Complaint about a worker,YES
533,3,5575,17/08/1978,Wants to update data,YES
534,6,971,09/01/1964,Wants to update data,YES
535,57,13572,07/11/1990,Problem with insurance,NO
536,3630,84,14/06/1985,Flat tire,NO
537,34,0,30/10/1973,Wants to rent a car,YES
538,293,3,02/03/1954,Wants to extend renting period,YES
539,2475,0,18/06/1952,Car died,NO
540,68881,17,27/07/1996,Complaint about a worker,NO
541,790,388,19/09/1998,Lights are out,NO
542,106,8,21/03/2000,Complaint about a worker,YES
543,983,6,29/04/1992,Wants to extend renting period,YES
544,7,1,23/07/1971,Wants to extend renting period,YES
545,9630,16,04/02/1966,Problem with insurance,NO
546,46798,1,01/05/1977,Unhappy costumer,YES
547,1,96,12/05/1961,Unhappy costumer,YES
548,8706,7,17/06/1991,Unhappy costumer,YES
549,60,58653,10/12/1994,Unhappy costumer,NO
550,409,139,03/06/1980,Brakes are broken,NO
551,883,8,18/06/1989,Wants to rent a car,YES
552,701,253,13/01/1989,Battery died,NO
553,398,0,17/10/1997,Wants to update data,YES
554,4936,959,28/04/1972,Brakes are broken,YES
555,5556,862,27/02/1982,Lights are out,YES
556,15,1,09/09/1988,Wants to extend renting period,NO
557,72,59,04/09/1974,Car died,YES
558,0,7242,04/09/1968,Weird noises,YES
559,192,18,13/01/1970,Wants to rent a car,NO
560,4481,49,11/12/1990,Battery died,NO
561,1,5,09/08/1951,Flat tire,NO
562,241,9401,25/02/1970,Wants to update data,NO
563,4,5,12/03/1983,Brakes are broken,NO
564,643,68015,28/06/1979,Weird noises,YES
565,51,9,24/09/1999,Flat tire,YES
566,3,981,05/07/1967,Lights are out,NO
567,20,4851,25/10/1956,Broken window,NO
568,3329,179,18/04/1962,Problem with insurance,NO
569,591,8,18/10/1973,Complaint about a worker,YES
570,31,37,27/04/1962,Wants to rent a car,NO
571,203,43707,30/03/1957,Complaint about a worker,NO
572,34756,40950,16/11/1959,Wants to rent a car,NO
573,0,4,11/02/1962,Flat tire,NO
574,551,6699,23/05/1954,Car died,NO
575,9,9,05/11/1950,Problem with insurance,NO
576,57359,92,10/03/1972,Car died,NO
577,76384,6,14/08/1993,Wants to rent a car,YES
578,8,98273,03/02/1980,Broken window,YES
579,60971,518,22/05/1993,Wants to rent a car,YES
580,120,325,25/01/1992,Problem with insurance,NO
581,672,19,05/07/1974,Brakes are broken,NO
582,592,1,28/06/1988,Problem with insurance,NO
583,9410,1,14/01/1986,Flat tire,NO
584,4983,6000,20/07/1985,Lights are out,NO
585,85,151,23/11/1960,Brakes are broken,NO
