COMPLAINT_ID,WorkerID,COSTUMER_ID,Date,Reason,DealtWith
70,67,73,02/03/1974,Weird noises,NO
71,51435,64,26/05/1954,Car died,NO
72,54182,82,22/10/1977,Problem with insurance,NO
73,120,60,01/03/1975,Car died,NO
74,6,69,16/08/1961,Wants to extend renting period,NO
75,8193,5,15/06/1977,Wants to update data,NO
76,43,65,19/11/1992,Problem with insurance,NO
77,4,64,02/02/1975,Wants to update data,NO
78,4,52,09/11/1958,Broken window,NO
79,965,71,05/10/1968,Flat tire,NO
80,734,18,15/09/1976,Complaint about a worker,NO
81,1,17,01/07/1992,Wants to extend renting period,NO
82,0,34,18/01/1953,Lights are out,NO
83,9,9,04/08/1955,Problem with insurance,NO
84,54601,51,17/06/1972,Problem with insurance,NO
85,1,43,09/07/1970,Complaint about a worker,NO
86,6,57,26/12/1986,Flat tire,NO
87,8,24,14/01/1990,Wants to update data,NO
88,46,35,17/04/1965,Wants to update data,NO
89,58972,60,02/05/1965,Car died,NO
90,4,3,28/08/1967,Lights are out,NO
91,5346,3,02/02/1968,Lights are out,NO
92,43611,25,06/07/1992,Wants to extend renting period,NO
93,871,10,03/07/1952,Battery died,NO
94,716,62,05/04/1990,Wants to rent a car,NO
95,7,34,05/04/1950,Weird noises,NO
96,54,38,07/06/1971,Broken window,NO
97,255,100,30/07/1992,Problem with insurance,NO
98,4297,16,27/08/1990,Battery died,NO
99,61700,76,02/08/1953,Brakes are broken,NO
100,1,12,08/07/1988,Lights are out,NO
101,65490,65,27/06/1968,Wants to rent a car,NO
102,6,61,25/04/1952,Wants to update data,NO
103,9,54,24/04/1957,Battery died,NO
104,3811,25,14/01/1991,Wants to extend renting period,NO
105,44323,94,02/08/1959,Battery died,NO
106,6168,37,16/07/1988,Battery died,NO
107,46,22,22/09/1959,Weird noises,NO
108,90,15,28/10/1964,Broken window,NO
109,762,30,08/09/1993,Unhappy costumer,NO
110,36,67,15/03/1965,Flat tire,NO
111,5,16,18/04/1957,Wants to rent a car,NO
112,991,21,23/07/1959,Weird noises,NO
113,94638,29,01/03/1981,Complaint about a worker,NO
114,3502,1,23/11/1954,Wants to rent a car,NO
115,283,91,01/06/1996,Lights are out,NO
116,12639,28,26/09/1969,Wants to rent a car,NO
117,94317,96,07/03/1971,Car died,NO
118,80,19,08/08/1956,Brakes are broken,NO
119,5572,36,04/08/1964,Problem with insurance,NO
120,3911,22,12/06/1968,Wants to extend renting period,NO
121,2,86,19/07/1992,Wants to update data,NO
122,5,69,15/04/1986,Weird noises,NO
123,33,35,16/04/1986,Flat tire,NO
124,65674,25,19/08/1962,Wants to update data,NO
125,8,78,27/08/1974,Complaint about a worker,NO
126,96,64,02/02/1954,Broken window,NO
127,40386,84,15/07/1991,Wants to extend renting period,NO
128,16237,70,16/10/1964,Wants to rent a car,NO
129,711,56,06/04/1981,Flat tire,NO
130,364,1,15/02/1961,Unhappy costumer,NO
131,8,79,25/03/1962,Wants to update data,NO
132,0,53,01/03/1975,Problem with insurance,NO
133,8,5,06/05/1977,Battery died,NO
134,98939,21,10/05/1994,Brakes are broken,NO
135,613,8,20/09/1954,Wants to rent a car,NO
136,944,2,08/09/1986,Problem with insurance,NO
137,65,86,05/09/1953,Unhappy costumer,NO
138,26602,64,16/01/1952,Lights are out,NO
139,5,86,03/11/1978,Lights are out,NO
140,56493,57,26/01/1950,Car died,NO
141,43,15,12/12/1999,Wants to rent a car,NO
142,36,82,17/05/1971,Wants to update data,NO
143,116,99,27/11/1985,Wants to rent a car,NO
144,21750,22,05/06/1988,Wants to update data,NO
145,5579,95,30/08/1969,Complaint about a worker,NO
146,72283,27,24/04/1989,Broken window,NO
147,844,9,16/06/1953,Wants to rent a car,NO
148,4,98,04/08/1958,Wants to extend renting period,NO
149,0,7,21/02/1979,Car died,NO
150,322,55,14/07/1973,Wants to update data,NO
151,8524,57,25/07/1956,Wants to rent a car,NO
152,0,25,05/12/1988,Lights are out,NO
153,0,20,25/09/1989,Complaint about a worker,NO
154,89,96,05/08/1965,Flat tire,NO
155,54,2,02/09/1987,Unhappy costumer,NO
156,9,43,21/02/1965,Wants to update data,NO
157,84,96,12/04/1958,Problem with insurance,NO
158,1169,78,24/10/1996,Problem with insurance,NO
159,12,4,06/07/1957,Weird noises,NO
160,34,77,01/12/1996,Weird noises,NO
161,6,23,29/11/1964,Brakes are broken,NO
162,1790,18,20/07/1968,Wants to update data,NO
163,45,51,24/01/1964,Complaint about a worker,NO
164,228,7,17/12/1974,Flat tire,NO
165,40930,94,05/08/1976,Wants to update data,NO
166,58,58,01/09/1995,Battery died,NO
167,3,42,30/03/1972,Wants to update data,NO
168,1570,91,10/03/1999,Complaint about a worker,NO
169,522,41,18/09/1999,Battery died,NO
170,9,12,11/03/1950,Battery died,NO
171,2205,89,02/04/1975,Wants to extend renting period,NO
172,55,31,26/06/1979,Wants to extend renting period,NO
173,94557,1,14/01/1969,Problem with insurance,NO
174,4,50,22/10/1977,Brakes are broken,NO
175,924,46,07/08/1984,Battery died,NO
176,1114,12,10/01/1958,Complaint about a worker,NO
177,67,31,05/05/1984,Brakes are broken,NO
178,98,7,21/09/1997,Brakes are broken,NO
179,127,12,28/12/1968,Wants to extend renting period,NO
180,4621,95,25/10/1971,Problem with insurance,NO
181,5,55,19/10/1983,Lights are out,NO
182,92304,53,18/02/1982,Weird noises,NO
183,7528,94,09/12/1984,Car died,NO
184,3984,74,03/02/1950,Wants to update data,NO
185,585,10,10/03/1979,Broken window,NO
186,57,14,24/11/1986,Car died,NO
187,401,56,16/04/1961,Car died,NO
188,43,84,16/01/1983,Car died,NO
189,598,28,02/08/1999,Weird noises,NO
190,4200,44,13/09/1982,Unhappy costumer,NO
191,41,92,22/01/1981,Car died,NO
192,9423,50,30/07/1962,Broken window,NO
193,882,23,28/09/1958,Broken window,NO
194,5704,95,22/05/1996,Brakes are broken,NO
195,64918,46,13/04/1989,Lights are out,NO
196,8,88,01/07/1971,Brakes are broken,NO
197,771,86,10/04/1981,Car died,NO
198,21,68,07/02/1960,Unhappy costumer,NO
199,21576,6,02/11/1971,Weird noises,NO
200,0,79,24/01/1958,Wants to rent a car,NO
201,9289,76,23/02/1994,Battery died,NO
202,334,56,25/03/1951,Unhappy costumer,NO
203,6126,34,20/02/1963,Wants to extend renting period,NO
204,78436,48,28/03/1960,Flat tire,NO
205,95,31,25/01/1981,Wants to extend renting period,NO
206,7,65,09/01/1963,Broken window,NO
207,4,67,15/11/1970,Weird noises,NO
208,2,97,22/03/1994,Brakes are broken,NO
209,1,79,03/11/1955,Wants to extend renting period,NO
210,876,70,18/05/1980,Wants to update data,NO
211,5494,21,27/03/1956,Weird noises,NO
212,18,32,20/11/1987,Unhappy costumer,NO
213,6,96,10/05/1972,Flat tire,NO
214,21,77,01/07/1999,Weird noises,NO
215,12936,45,28/09/1984,Complaint about a worker,NO
216,87,71,14/05/1958,Complaint about a worker,NO
217,9836,9,13/01/1995,Broken window,NO
218,7,2,22/08/1957,Brakes are broken,NO
219,7,18,10/08/1995,Wants to extend renting period,NO
220,99912,75,19/12/1971,Car died,NO
221,653,84,16/02/1984,Car died,NO
222,77,51,29/01/1964,Weird noises,NO
223,19,91,03/10/1973,Car died,NO
224,4389,40,16/11/1972,Unhappy costumer,NO
225,73679,94,16/05/1950,Flat tire,NO
226,42448,41,10/01/1974,Problem with insurance,NO
227,9,81,21/08/1961,Brakes are broken,NO
228,87,2,15/03/1981,Wants to update data,NO
229,7,19,27/01/1998,Brakes are broken,NO
230,2262,87,28/06/1987,Problem with insurance,NO
231,2124,17,24/09/1965,Brakes are broken,NO
232,46687,62,25/07/1960,Complaint about a worker,NO
233,4799,41,08/12/1970,Wants to extend renting period,NO
234,32,31,26/07/1973,Wants to rent a car,NO
235,228,22,17/12/1990,Wants to update data,NO
236,661,86,10/09/1977,Weird noises,NO
237,68,79,29/01/1987,Battery died,NO
238,520,48,23/03/1954,Flat tire,NO
239,1,18,03/06/1979,Complaint about a worker,NO
240,550,36,24/11/1973,Weird noises,NO
241,20020,96,01/10/1982,Battery died,NO
242,5,20,05/07/1986,Broken window,NO
243,323,83,07/10/1971,Weird noises,NO
244,35327,12,26/09/1993,Brakes are broken,NO
245,4908,72,16/09/1963,Car died,NO
246,31206,44,05/09/1975,Car died,NO
247,7,90,02/01/1982,Broken window,NO
248,0,43,12/05/1997,Car died,NO
249,3,65,16/10/1999,Problem with insurance,NO
250,707,65,08/06/1980,Brakes are broken,NO
251,8318,24,03/10/1963,Wants to update data,NO
252,4,55,22/05/1965,Flat tire,NO
253,79532,55,22/12/1983,Unhappy costumer,NO
254,3056,27,30/08/1974,Brakes are broken,NO
255,6799,70,23/09/1991,Wants to rent a car,NO
256,5431,96,21/10/1951,Broken window,NO
257,57347,18,23/03/1997,Wants to update data,NO
258,720,22,27/11/1961,Complaint about a worker,NO
259,71694,67,29/08/1979,Lights are out,NO
260,169,53,28/03/1990,Wants to rent a car,NO
261,4507,51,14/06/1983,Broken window,NO
262,449,17,08/03/1995,Weird noises,NO
263,21,28,01/11/1958,Wants to update data,NO
264,67,10,02/04/1950,Brakes are broken,NO
265,5056,35,26/07/1982,Unhappy costumer,NO
266,2943,84,05/12/1996,Car died,NO
267,8440,92,27/05/1999,Battery died,NO
268,9,30,21/12/1999,Broken window,NO
269,4,43,05/07/1991,Flat tire,NO
270,6635,87,15/07/1957,Broken window,NO
271,4698,83,11/05/1986,Weird noises,NO
272,4,97,18/11/1975,Unhappy costumer,NO
273,3147,3,13/05/1979,Unhappy costumer,NO
274,8,85,07/09/1965,Unhappy costumer,NO
275,4,80,02/03/1973,Lights are out,NO
276,3,99,16/12/1977,Wants to rent a car,NO
277,4968,77,16/03/1999,Broken window,NO
278,18,75,20/06/1970,Unhappy costumer,NO
279,4262,46,08/12/1991,Complaint about a worker,NO
280,957,87,14/02/1980,Wants to rent a car,NO
281,20502,82,13/03/1987,Wants to rent a car,NO
282,94219,1,15/06/1998,Unhappy costumer,NO
283,220,41,25/03/1963,Battery died,NO
284,7,65,29/11/1999,Problem with insurance,NO
285,12,11,20/06/1991,Battery died,NO
286,5,83,03/01/1980,Wants to extend renting period,NO
287,78,49,25/11/2000,Car died,NO
288,27,16,26/10/1955,Battery died,NO
289,61365,90,03/09/1956,Car died,NO
290,4624,49,18/08/1977,Battery died,NO
291,763,34,02/02/1988,Wants to extend renting period,NO
292,20780,78,02/01/1977,Wants to update data,NO
293,96,7,31/08/2000,Problem with insurance,NO
294,30457,89,25/04/1950,Car died,NO
295,55754,37,01/04/1960,Lights are out,NO
296,131,4,18/06/1957,Unhappy costumer,NO
297,1,34,19/10/1996,Weird noises,NO
298,5373,12,15/01/1977,Car died,NO
299,6,21,10/02/1961,Brakes are broken,NO
300,3,63,08/09/1994,Brakes are broken,NO
301,9132,61,25/02/1993,Unhappy costumer,NO
302,71,65,24/10/1964,Broken window,NO
303,979,95,12/03/1952,Weird noises,NO
304,1926,35,22/04/1963,Wants to rent a car,NO
305,8286,22,22/09/1999,Problem with insurance,NO
306,972,7,03/09/2000,Broken window,NO
307,6643,73,02/01/1991,Car died,NO
308,34166,74,03/12/1976,Complaint about a worker,NO
309,44,76,26/04/1995,Weird noises,NO
310,691,63,06/11/1999,Flat tire,NO
311,639,12,04/11/1997,Complaint about a worker,NO
312,9177,85,30/10/1950,Broken window,NO
313,6313,55,03/10/1964,Car died,NO
314,6510,27,03/02/1990,Car died,NO
315,0,73,16/07/1990,Wants to update data,NO
316,51,36,31/01/1989,Complaint about a worker,NO
317,8382,35,02/08/1968,Car died,NO
318,422,76,01/03/1974,Weird noises,NO
319,0,80,06/07/1953,Lights are out,NO
320,0,5,27/01/1961,Wants to extend renting period,NO
321,9540,37,28/09/1977,Problem with insurance,NO
322,6,75,23/08/1970,Battery died,NO
323,312,56,25/10/1998,Flat tire,NO
324,667,79,06/11/1992,Broken window,NO
325,960,100,15/01/1951,Weird noises,NO
326,586,93,14/10/1955,Wants to rent a car,NO
327,3044,34,10/01/1955,Battery died,NO
328,106,58,08/02/1967,Problem with insurance,NO
329,3,87,30/11/1998,Wants to extend renting period,NO
330,229,59,08/04/1983,Wants to extend renting period,NO
331,20,80,06/06/1994,Broken window,NO
332,2,86,08/05/1984,Weird noises,NO
333,408,13,24/12/1987,Complaint about a worker,NO
334,5,62,12/11/1998,Flat tire,NO
335,9,12,18/04/1968,Problem with insurance,NO
336,58,15,26/05/1972,Brakes are broken,NO
337,9448,67,25/12/1962,Flat tire,NO
338,52,14,15/11/1966,Wants to rent a car,NO
339,6576,79,19/08/2000,Battery died,NO
340,46,48,16/05/1968,Complaint about a worker,NO
341,524,38,14/05/1990,Weird noises,NO
342,7,77,09/12/1967,Problem with insurance,NO
343,862,10,18/09/1986,Flat tire,NO
344,27331,29,23/07/1951,Brakes are broken,NO
345,9,86,29/11/1960,Wants to update data,NO
346,2,21,23/06/1974,Broken window,NO
347,524,12,01/09/1992,Lights are out,NO
348,277,74,05/06/1981,Flat tire,NO
349,616,37,24/05/1973,Car died,NO
350,1,90,12/02/1955,Wants to update data,NO
351,7,38,25/07/1980,Car died,NO
352,1,69,17/10/1950,Wants to extend renting period,NO
353,2,40,02/11/2000,Wants to update data,NO
354,17,2,12/11/1958,Wants to extend renting period,NO
355,4,45,10/08/1959,Car died,NO
356,92033,85,22/07/1953,Wants to extend renting period,NO
357,99879,4,06/10/1981,Broken window,NO
358,78,37,26/01/1979,Wants to rent a car,NO
359,62784,58,08/12/1971,Unhappy costumer,NO
360,46,31,25/09/1976,Weird noises,NO
361,82619,46,04/04/1993,Battery died,NO
362,1,93,26/02/1985,Lights are out,NO
363,2038,9,16/05/1957,Battery died,NO
364,85001,46,17/12/1965,Brakes are broken,NO
365,5,27,09/08/1978,Wants to extend renting period,NO
366,90327,11,09/04/1973,Broken window,NO
367,5045,83,27/09/1952,Flat tire,NO
368,145,100,06/07/1962,Broken window,NO
369,861,37,31/07/1961,Battery died,NO
370,94444,90,13/09/1969,Lights are out,NO
371,59,15,27/02/1995,Wants to rent a car,NO
372,288,87,04/02/1991,Battery died,NO
373,6805,5,09/12/1986,Battery died,NO
374,24,4,29/08/1976,Complaint about a worker,NO
375,32,58,10/03/1986,Wants to extend renting period,NO
376,418,7,11/12/1999,Problem with insurance,NO
377,11675,30,13/05/1961,Flat tire,NO
378,80,24,24/11/1974,Weird noises,NO
379,73,27,03/08/1979,Weird noises,NO
380,9,85,15/09/1975,Problem with insurance,NO
381,82,3,24/10/1999,Car died,NO
382,50402,40,14/08/1988,Complaint about a worker,NO
383,74,42,04/09/1972,Flat tire,NO
384,0,81,09/02/1977,Complaint about a worker,NO
385,98,47,29/04/1954,Broken window,NO
386,4,73,23/11/1963,Lights are out,NO
387,38,68,31/01/1972,Problem with insurance,NO
388,3944,99,15/04/1956,Broken window,NO
389,2254,23,23/11/1992,Battery died,NO
390,93601,81,05/12/1961,Broken window,NO
391,42,71,13/07/1967,Weird noises,NO
392,3,47,06/11/1962,Lights are out,NO
393,814,88,09/10/1984,Car died,NO
394,8806,6,07/08/1973,Unhappy costumer,NO
395,77433,88,09/10/1972,Unhappy costumer,NO
396,4277,56,26/11/1966,Brakes are broken,NO
397,33,24,05/07/1966,Lights are out,NO
398,9,68,11/08/1976,Battery died,NO
399,73065,35,21/12/1970,Battery died,NO
400,29633,32,04/06/1997,Complaint about a worker,NO
401,9238,30,01/09/1969,Problem with insurance,NO
402,6011,33,30/03/1973,Complaint about a worker,NO
403,9328,34,21/07/1971,Wants to rent a car,NO
404,0,96,29/07/1953,Unhappy costumer,NO
405,3022,35,11/01/1992,Weird noises,NO
406,8981,94,16/01/1977,Weird noises,NO
407,59,80,10/09/1969,Wants to rent a car,NO
408,6795,79,07/07/1962,Wants to rent a car,NO
409,45320,51,05/07/1995,Wants to rent a car,NO
410,73,54,16/10/1995,Brakes are broken,NO
411,341,14,19/05/1991,Lights are out,NO
412,0,65,28/06/1982,Car died,NO
413,89449,87,15/01/1961,Battery died,NO
414,18,47,26/08/1984,Broken window,NO
415,602,47,16/03/1987,Car died,NO
416,745,91,16/03/1965,Complaint about a worker,NO
417,8,28,03/04/1975,Battery died,NO
418,5417,48,03/06/1953,Complaint about a worker,NO
419,0,54,28/07/1952,Wants to rent a car,NO
420,5,54,31/01/1975,Wants to update data,NO
421,6,96,28/10/1963,Unhappy costumer,NO
422,5,100,05/10/1967,Brakes are broken,NO
423,92948,24,26/11/1962,Brakes are broken,NO
424,5193,35,25/12/1964,Wants to rent a car,NO
425,62398,97,01/02/1971,Flat tire,NO
426,21,46,26/03/1998,Flat tire,NO
427,900,23,30/06/1957,Wants to rent a car,NO
428,717,49,03/03/1978,Brakes are broken,NO
429,25011,7,08/06/2000,Wants to update data,NO
430,3,25,02/02/1987,Wants to update data,NO
431,8159,47,12/12/1963,Broken window,NO
432,32856,25,07/08/1950,Wants to extend renting period,NO
433,1,100,02/01/1979,Wants to extend renting period,NO
434,576,20,24/04/1965,Wants to extend renting period,NO
435,85,52,16/05/1989,Problem with insurance,NO
436,4,28,07/09/1956,Weird noises,NO
437,704,68,28/10/1950,Wants to update data,NO
438,4173,95,11/01/1990,Wants to extend renting period,NO
439,9446,35,07/03/2000,Wants to rent a car,NO
440,21,84,22/03/1973,Wants to extend renting period,NO
441,5,1,30/09/1979,Unhappy costumer,NO
442,51,5,07/11/1968,Wants to update data,NO
443,58431,57,12/11/1955,Wants to rent a car,NO
444,94,71,21/05/1988,Weird noises,NO
445,7,28,10/06/1973,Car died,NO
446,98,89,27/07/1951,Complaint about a worker,NO
447,737,61,12/02/1969,Wants to extend renting period,NO
448,594,38,20/01/1979,Battery died,NO
449,540,27,20/02/1954,Weird noises,NO
450,0,74,28/06/1968,Wants to update data,NO
451,8932,77,31/05/1982,Car died,NO
452,48534,56,04/05/1978,Unhappy costumer,NO
453,40556,65,14/10/1960,Wants to extend renting period,NO
454,29086,40,07/05/1979,Wants to extend renting period,NO
455,28672,14,12/03/1987,Broken window,NO
456,8324,94,09/03/1982,Wants to rent a car,NO
457,8,58,25/10/1957,Unhappy costumer,NO
458,88,25,03/04/1950,Weird noises,NO
459,6316,4,12/06/1991,Problem with insurance,NO
460,7857,97,20/02/1989,Car died,NO
461,4851,33,01/11/1965,Problem with insurance,NO
462,97426,70,10/08/1995,Wants to rent a car,NO
463,46,50,07/05/1958,Problem with insurance,NO
464,7,2,30/08/1994,Lights are out,NO
465,0,31,03/06/1968,Wants to rent a car,NO
466,160,37,30/11/1965,Complaint about a worker,NO
467,4699,1,23/04/1978,Unhappy costumer,NO
468,39729,100,09/05/1967,Unhappy costumer,NO
469,8,34,14/12/1954,Car died,NO
470,84396,18,20/05/1998,Car died,NO
471,2,59,01/11/1998,Battery died,NO
472,64089,97,10/05/1976,Battery died,NO
473,3129,9,23/06/1970,Weird noises,NO
474,3,89,17/04/1999,Flat tire,NO
475,7,55,28/01/1993,Unhappy costumer,NO
476,899,98,12/01/1975,Complaint about a worker,NO
477,1341,9,17/07/1963,Problem with insurance,NO
478,527,9,22/11/1997,Flat tire,NO
479,507,78,17/05/1986,Complaint about a worker,NO
480,5607,46,18/09/1986,Complaint about a worker,NO
481,3,22,30/03/1962,Battery died,NO
482,1727,30,14/10/1954,Wants to update data,NO
483,31,92,21/02/1953,Flat tire,NO
484,1324,82,01/03/1974,Battery died,NO
485,443,53,11/08/1955,Weird noises,NO
486,81979,64,17/04/1992,Wants to extend renting period,NO
487,64,57,04/02/1983,Brakes are broken,NO
488,9986,65,25/11/1953,Lights are out,NO
489,6,25,09/03/1974,Brakes are broken,NO
490,83,58,31/08/1963,Complaint about a worker,NO
491,93,44,12/12/1987,Problem with insurance,NO
492,9,94,01/12/1980,Weird noises,NO
493,255,99,16/09/1961,Brakes are broken,NO
494,5524,23,06/05/2000,Wants to update data,NO
495,7,94,05/05/1956,Brakes are broken,NO
496,49,8,16/02/1967,Wants to rent a car,NO
497,0,30,06/01/1961,Broken window,NO
498,6126,90,09/04/1982,Wants to update data,NO
499,93,51,22/05/1991,Battery died,NO
500,16520,45,12/08/1995,Brakes are broken,NO
501,36772,1,22/01/1968,Car died,NO
502,76720,82,29/12/1995,Broken window,NO
503,5,19,27/01/1998,Problem with insurance,NO
504,829,23,03/06/1958,Flat tire,NO
505,1114,75,17/03/1978,Broken window,NO
506,95966,34,12/10/1988,Car died,NO
507,9143,12,10/03/1978,Wants to extend renting period,NO
508,11216,24,24/01/1982,Lights are out,NO
509,11151,82,14/02/1987,Brakes are broken,NO
510,73834,50,01/10/1954,Broken window,NO
511,7329,58,27/02/1992,Car died,NO
512,596,92,14/01/1983,Wants to update data,NO
513,21371,83,19/06/2000,Wants to extend renting period,NO
514,8658,42,23/01/1964,Wants to extend renting period,NO
515,8,67,17/12/1987,Brakes are broken,NO
516,2004,38,05/12/1990,Brakes are broken,NO
517,3812,40,06/06/1972,Flat tire,NO
518,182,59,07/01/1986,Flat tire,NO
519,596,41,09/10/1964,Weird noises,NO
520,8,37,02/03/1974,Problem with insurance,NO
521,98982,81,28/09/1955,Problem with insurance,NO
522,43197,75,12/08/1984,Wants to update data,NO
523,7,25,18/01/1979,Unhappy costumer,NO
524,3,99,22/12/1989,Battery died,NO
525,8716,98,20/06/1984,Lights are out,NO
526,821,53,09/05/1997,Problem with insurance,NO
527,536,48,27/04/1965,Lights are out,NO
528,2,8,07/12/1986,Car died,NO
529,89,39,15/04/1965,Broken window,NO
530,390,91,06/01/1969,Problem with insurance,NO
531,416,40,20/02/1951,Lights are out,NO
532,82,67,11/06/1978,Complaint about a worker,NO
533,3,30,17/08/1978,Wants to update data,NO
534,6,43,09/01/1964,Wants to update data,NO
535,57,38,07/11/1990,Problem with insurance,NO
536,3630,25,14/06/1985,Flat tire,NO
537,34,21,30/10/1973,Wants to rent a car,NO
538,293,73,02/03/1954,Wants to extend renting period,NO
539,2475,31,18/06/1952,Car died,NO
540,68881,79,27/07/1996,Complaint about a worker,NO
541,790,74,19/09/1998,Lights are out,NO
542,106,70,21/03/2000,Complaint about a worker,NO
543,983,87,29/04/1992,Wants to extend renting period,NO
544,7,83,23/07/1971,Wants to extend renting period,NO
545,9630,77,04/02/1966,Problem with insurance,NO
546,46798,87,01/05/1977,Unhappy costumer,NO
547,1,44,12/05/1961,Unhappy costumer,NO
548,8706,13,17/06/1991,Unhappy costumer,NO
549,60,83,10/12/1994,Unhappy costumer,NO
550,409,28,03/06/1980,Brakes are broken,NO
551,883,79,18/06/1989,Wants to rent a car,NO
552,701,27,13/01/1989,Battery died,NO
553,398,35,17/10/1997,Wants to update data,NO
554,4936,70,28/04/1972,Brakes are broken,NO
555,5556,17,27/02/1982,Lights are out,NO
556,15,84,09/09/1988,Wants to extend renting period,NO
557,72,15,04/09/1974,Car died,NO
558,0,56,04/09/1968,Weird noises,NO
559,192,85,13/01/1970,Wants to rent a car,NO
560,4481,15,11/12/1990,Battery died,NO
561,1,43,09/08/1951,Flat tire,NO
562,241,28,25/02/1970,Wants to update data,NO
563,4,54,12/03/1983,Brakes are broken,NO
564,643,50,28/06/1979,Weird noises,NO
565,51,47,24/09/1999,Flat tire,NO
566,3,17,05/07/1967,Lights are out,NO
567,20,47,25/10/1956,Broken window,NO
568,3329,21,18/04/1962,Problem with insurance,NO
569,591,74,18/10/1973,Complaint about a worker,NO
570,31,93,27/04/1962,Wants to rent a car,NO
571,203,14,30/03/1957,Complaint about a worker,NO
572,34756,91,16/11/1959,Wants to rent a car,NO
573,0,98,11/02/1962,Flat tire,NO
574,551,46,23/05/1954,Car died,NO
575,9,42,05/11/1950,Problem with insurance,NO
576,57359,9,10/03/1972,Car died,NO
577,76384,33,14/08/1993,Wants to rent a car,NO
578,8,17,03/02/1980,Broken window,NO
579,60971,84,22/05/1993,Wants to rent a car,NO
580,120,26,25/01/1992,Problem with insurance,NO
581,672,76,05/07/1974,Brakes are broken,NO
582,592,57,28/06/1988,Problem with insurance,NO
583,9410,8,14/01/1986,Flat tire,NO
584,4983,67,20/07/1985,Lights are out,NO
585,85,26,23/11/1960,Brakes are broken,NO
586,78,86,01/12/1952,Broken window,NO
587,0,77,20/05/1993,Unhappy costumer,NO
588,888,73,14/02/1985,Lights are out,NO
589,673,5,29/02/1956,Wants to extend renting period,NO
590,69,16,28/03/1950,Flat tire,NO
591,7539,79,28/02/1965,Battery died,NO
592,5,48,03/05/1972,Wants to rent a car,NO
